"filename", "language", "YAML", "C++", "Markdown", "JSON", "CMake", "Swift", "HTML", "XML", "Dart", "Properties", "comment", "blank", "total"
"c:\Users\idoba\flowscape\lib\features\home\screens\scapes\scape_widgets\scape_style.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\idoba\flowscape\lib\features\home\screens\scapes\scape_widgets\scapes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\idoba\flowscape\lib\features\home\screens\scapes\scapes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 2, 19, 145
"c:\Users\idoba\flowscape\lib\features\home\screens\scapes\scapes_warehouse\meditation.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
"c:\Users\idoba\flowscape\lib\features\home\screens\scapes\scapes_warehouse\scapes_warehouse.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\idoba\flowscape\lib\features\music\music.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\idoba\flowscape\lib\features\settings\appearance_tile\theme_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\idoba\flowscape\lib\features\settings\appearance_tile\theme_select.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\idoba\flowscape\lib\features\settings\settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 2, 12, 118
"c:\Users\idoba\flowscape\lib\features\tasks\tasks.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\idoba\flowscape\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 1, 12, 69
"c:\Users\idoba\flowscape\lib\templates\screen_temp.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\idoba\flowscape\lib\testing\scarch.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\idoba\flowscape\lib\wiki\FEATURES.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 18, 45
"c:\Users\idoba\flowscape\lib\wiki\PROBLEMS.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\idoba\flowscape\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\idoba\flowscape\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\idoba\flowscape\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\idoba\flowscape\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\idoba\flowscape\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\idoba\flowscape\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\idoba\flowscape\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\idoba\flowscape\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
